date,adjusted_close
2024-03-13,507.9075
2024-03-14,506.9034
2024-03-15,503.4227
2024-03-18,506.4146
2024-03-19,509.2288
2024-03-20,513.9388
2024-03-21,515.6372
2024-03-22,514.6597
2024-03-25,513.2378
2024-03-26,512.2898
2024-03-27,516.595
2024-03-28,516.4963
2024-04-01,515.5977
2024-04-02,512.3195
2024-04-03,512.8823
2024-04-04,506.622
2024-04-05,511.9146
2024-04-08,512.201
2024-04-09,512.7934
2024-04-10,507.6588
2024-04-11,511.49
2024-04-12,504.4299
2024-04-15,498.1103
2024-04-16,497.2019
2024-04-17,494.2593
2024-04-18,493.2423
2024-04-19,488.9371
2024-04-22,493.4397
2024-04-23,499.2952
2024-04-24,499.0582
2024-04-25,497.1624
2024-04-26,501.8724
2024-04-29,503.6498
2024-04-30,495.6713
2024-05-01,494.0618
2024-05-02,498.683
2024-05-03,504.8643
2024-05-06,510.078
2024-05-07,510.6408
2024-05-08,510.6902
2024-05-09,513.6327
2024-05-10,514.2943
2024-05-13,514.3634
2024-05-14,516.7234
2024-05-15,523.122
2024-05-16,522.0457
2024-05-17,522.7961
2024-05-20,523.3984
2024-05-21,524.6821
2024-05-22,523.1713
2024-05-23,519.35
2024-05-24,522.7862
2024-05-28,523.1516
2024-05-29,519.4882
2024-05-30,516.0421
2024-05-31,520.7423
2024-06-03,521.1669
2024-06-04,521.7494
2024-06-05,527.9505
2024-06-06,527.9406
2024-06-07,527.2988
2024-06-10,528.9281
2024-06-11,530.2019
2024-06-12,534.5564
2024-06-13,535.6327
2024-06-14,535.9586
2024-06-17,540.2243
2024-06-18,541.5968
2024-06-20,540.1256
2024-06-21,539.4014
2024-06-24,537.648
2024-06-25,539.7184
2024-06-26,540.392
2024-06-27,541.244
2024-06-28,539.1141
2024-07-01,540.2236
2024-07-02,543.8592
2024-07-03,546.2862
2024-07-05,549.4364
2024-07-08,550.0704
2024-07-09,550.6053
2024-07-10,556.0537
2024-07-11,551.2591
2024-07-12,554.7362
2024-07-15,556.2617
2024-07-16,559.5605
2024-07-17,551.7148
2024-07-18,547.475
2024-07-19,543.8394
2024-07-22,549.4463
2024-07-23,548.5844
2024-07-24,536.1522
2024-07-25,533.3586
2024-07-26,539.3321
2024-07-29,539.6491
2024-07-30,536.915
2024-07-31,545.6423
2024-08-01,537.9155
2024-08-02,527.9003
2024-08-05,512.5259
2024-08-06,517.2512
2024-08-07,513.7939
2024-08-08,525.6714
2024-08-09,527.9895
2024-08-12,528.2669
